Atividade;Quantidade
Comércio varejista de móveis;203
Fabricação de móveis com predominância de madeira;203
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;203
Fabricação de artigos de serralheria, exceto esquadrias;200
Desenvolvimento de programas de computador sob encomenda;198
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;192
Atividades de condicionamento físico;184
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;184
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;182
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;178
Atividades de fisioterapia;175
Padaria e confeitaria com predominância de revenda;175
Atividades de cobrança e informações cadastrais;174
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;174
Carga e descarga;171
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;170
Comércio varejista de materiais de construção em geral;169
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;167
Comércio varejista de artigos de óptica;161
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;160
Comércio varejista de ferragens e ferramentas;151
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;151
Marketing direto;149
Fabricação de outros produtos têxteis não especificados anteriormente;143
Comércio a varejo de automóveis, camionetas e utilitários usados;142
Serviço de táxi;142
Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;141
Serviços de alimentação para eventos e recepções - bufê;140
Construção de edifícios;139
Comércio varejista de calçados;136
Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento;135
Reparação e manutenção de equipamentos de comunicação;135
Comércio varejista de brinquedos e artigos recreativos;132
Edição de livros;132
Estacionamento de veículos;130
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;130
Atividades veterinárias;128
Comércio varejista de artigos de papelaria;128
Outras atividades de serviços pessoais não especificadas anteriormente;121
Comercio varejista de artigos de cama, mesa e banho;115
Outras atividades de telecomunicações não especificadas anteriormente;114
Serviços de tatuagem e colocação de piercing;114
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;112
Serviços de arquitetura;110
Obras de acabamento em gesso e estuque;109
Fornecimento de alimentos preparados preponderantemente para empresas;108
Atividades de sonorização e de iluminação;107
Comércio varejista de doces, balas, bombons e semelhantes;107
Comércio varejista de material elétrico;105
Cursos preparatórios para concursos;104
Serviços de pré-impressão;103
Edição de revistas;99
Comércio varejista de produtos saneantes domissanitários;98
Serviços especializados para construção não especificados anteriormente;98
Aplicação de revestimentos e de resinas em interiores e exteriores;92
Outras obras de acabamento da construção;92
Agências de publicidade;89
Comércio varejista de materiais de construção não especificados anteriormente;88
Comércio varejista de plantas e flores naturais;87
Comércio varejista de artigos esportivos;84
Desenvolvimento e licenciamento de programas de computador customizáveis;84
Transporte escolar;84
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;83
Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;83
Serviços combinados para apoio a edifícios, exceto condomínios prediais;83
Instalações hidráulicas, sanitárias e de gás;82
Manutenção e reparação de motocicletas e motonetas;82
Atividades de fonoaudiologia;81
Outras atividades de recreação e lazer não especificadas anteriormente;81
Atividades de limpeza não especificadas anteriormente;79
Gestão e administração da propriedade imobiliária;79
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;79
Produção teatral;79
Serviços de borracharia para veículos automotores;78
Serviços de reboque de veículos;78
Fabricação de ferramentas;77
Serviços de manutenção e reparação elétrica de veículos automotores;77
Lavanderias;76
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;76
Portais, provedores de conteúdo e outros serviços de informação na Internet;75
Chaveiros;74
Comércio varejista de outros artigos usados;74
Comércio varejista de carnes - açougues;72
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet;72
Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;70
Edição de jornais diários;70
Atividades de profissionais da nutrição;69
Ensino de música;69
Aluguel de imóveis próprios;67
Fabricação de produtos de panificação industrial;67
Fabricação de artefatos diversos de madeira, exceto móveis;65
Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;65
Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;65
Transporte rodoviário de mudanças;64
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;63
Filmagem de festas e eventos;63
Comércio varejista de laticínios e frios;62
Comércio varejista de vidros;62
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;62
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;61
Atividades de atenção ambulatorial não especificadas anteriormente;61
Impressão de material para outros usos;61
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;60
Edição de jornais não diários;59
Fabricação de alimentos e pratos prontos;59
Outras atividades de prestação de serviços de informação não especificadas anteriormente;59
Atividades de terapia ocupacional;58
Tabacaria;58
"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais";57
Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;57
Fabricação de bijuterias e artefatos semelhantes;55
Holdings de instituições não financeiras;55
Comércio varejista de artigos médicos e ortopédicos;54
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;54
Comércio varejista de madeira e artefatos;53
Compra e venda de imóveis próprios;53
Comércio varejista de livros;52
Corretagem no aluguel de imóveis;52
Comércio varejista de artigos de colchoaria;51
Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;51
Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;51
Serviços de desenho técnico relacionados à arquitetura e engenharia;51
Educação infantil - creche;48
Reparação de artigos do mobiliário;48
Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;47
Cantinas - serviços de alimentação privativos;47
Comércio varejista de artigos de tapeçaria, cortinas e persianas;47
Educação infantil - pré-escola;47
Ensino de esportes;47
Comércio varejista de materiais hidráulicos;46
Fabricação de esquadrias de metal;46
Impressão de material para uso publicitário;46
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;46
Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;45
Serviço de preparação de terreno, cultivo e colheita;45
Atividades de apoio à educação, exceto caixas escolares;44
Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;44
Comércio varejista de tintas e materiais para pintura;44
Aluguel de equipamentos recreativos e esportivos;42
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;42
"Comércio varejista de bicicletas e triciclos; peças e acessórios";41
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;39
Coleta de resíduos não perigosos;39
Atividades de práticas integrativas e complementares em saúde humana;38
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;37
Comércio varejista de gás liqüefeito de petróleo (GLP);37
Instalação de painéis publicitários;37
Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;37
Alojamento de animais domésticos;36
Comércio a varejo de peças e acessórios usados para veículos automotores;34
Fabricação de massas alimentícias;34
Fabricação de outros artigos de carpintaria para construção;34
Fotocópias;34
Administração de obras;33
Instalações de sistema de prevenção contra incêndio;33
Casas de festas e eventos;32
Comércio varejista de equipamentos para escritório;32
Comércio varejista de objetos de arte;31
"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";30
Comércio varejista de artigos de iluminação;30
Consultoria em publicidade;30
Desenvolvimento e licenciamento de programas de computador não customizáveis;30
Limpeza em prédios e em domicílios;30
Serviços de reservas e outros serviços de turismo não especificados anteriormente;30
Comércio varejista de tecidos;29
Obras de terraplenagem;29
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;28
Atividades de monitoramento de sistemas de segurança eletrônico;28
Comércio a varejo de pneumáticos e câmaras-de-ar;28
Correspondentes de instituições financeiras;28
Ensino de artes cênicas, exceto dança;28
Fabricação de artefatos de tapeçaria;28
Incorporação de empreendimentos imobiliários;28
Locação de automóveis sem condutor;28
Reparação de bicicletas, triciclos e outros veículos não motorizados;28
Atividades de profissionais da área de saúde não especificadas anteriormente;27
Casas lotéricas;27
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;27
Fabricação de produtos derivados do cacau e de chocolates;27
Manutenção e reparação de máquinas-ferramenta;27
Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;27
Serviço de transporte de passageiros - locação de automóveis com motorista;27
Comércio varejista de lubrificantes;26
Manutenção e reparação de geradores, transformadores e motores elétricos;26
Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;26
Comércio a varejo de automóveis, camionetas e utilitários novos;25
Comércio varejista de artigos fotográficos e para filmagem;25
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;25
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;25
Comércio varejista de artigos de caça, pesca e camping;24
Comércio varejista especializado de instrumentos musicais e acessórios;24
Outras atividades de publicidade não especificadas anteriormente;24
Atividade médica ambulatorial com recursos para realização de exames complementares;23
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;23
Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;23
Serviços de cartografia, topografia e geodésia;23
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;22
Atividades de desing não especificadas anteriormente;22
Comércio atacadista de embalagens;22
Comércio varejista de mercadorias em lojas de conveniência;22
Design de interiores;22
Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;22
Manutenção e reparação de equipamentos e produtos não especificados anteriormente;22
Aluguel de objetos do vestuário, jóias e acessórios;21
Pensões (alojamento);21
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;21
Operadores turísticos;20
Testes e análises técnicas;20
Transporte rodoviário de produtos perigosos;20
Comércio varejista de artigos de relojoaria;19
Fabricação de outros produtos de metal não especificados anteriormente;19
Fabricação de velas, inclusive decorativas;19
Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;19
Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;19
Seleção e agenciamento de mão de obra;19
Serviços de alinhamento e balanceamento de veículos automotores;19
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;19
Atividades de vigilância e segurança privada;18
Comércio varejista de artigos de viagem;18
Comércio varejista de jornais e revistas;18
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;18
Ensino de dança;18
Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;18
Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;18
Serviços de perícia técnica relacionados à segurança do trabalho;18
Web desing;18
Comércio atacadista de resíduos e sucatas metálicos;17
Criação de animais de estimação;17
Formação de condutores;17
Locação de outros meios de transporte não especificados anteriormente, sem condutor;17
Produção e promoção de eventos esportivos;17
Serviços de prótese dentária;17
Atividades de enfermagem;16
Atividades de teleatendimento;16
Comércio atacadista de produtos alimentícios em geral;16
Outras atividades de serviços de segurança;16
Outros alojamentos não especificados anteriormente;16
Produção de filmes para publicidade;16
Atividades de produção de fotografias aéreas e submarinas;15
Educação profissional de nível técnico;15
Envasamento e empacotamento sob contrato;15
Instituições de longa permanência para idosos;15
Manutenção e reparação de máquinas motrizes não elétricas;15
Serviços de acabamentos gráficos, exceto encadernação e plastificação;15
Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;14
Fabricação de artefatos de couro não especificados anteriormente;14
Fabricação de produtos de carne;14
Hotéis;14
Lojas de departamentos ou magazines, exceto lojas francas (Duty free);14
Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;14
Serviços de confecção de armações metálicas para a construção;14
Fabricação de artefatos têxteis para uso doméstico;13
Fabricação de conservas de frutas;13
Montagem de estruturas metálicas;13
Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;13
Salas de acesso à Internet;13
Serviços de encadernação e plastificação;13
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;12
Atividades de apoio à gestão de saúde;12
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;12
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;12
Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle;12
Reparação de jóias;12
Serviços de tradução, interpretação e similares;12
Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;11
Atividades relacionadas a esgoto, exceto a gestão de redes;11
Ensino fundamental;11
Fabricação de painéis e letreiros luminosos;11
Fabricação de produtos cerâmicos não refratários não especificados anteriormente;11
Gestão de ativos intangíveis não financeiros;11
Manutenção e reparação de aeronaves, exceto a manutenção na pista;11
Motéis;11
Outras obras de engenharia civil não especificadas anteriormente;11
Recuperação de materiais plásticos;11
Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;11
Agências de notícias;10
Comércio a varejo de motocicletas e motonetas novas;10
Comércio por atacado de peças e acessórios novos para veículos automotores;10
Comércio varejista de cal, areia, pedra britada, tijolos e telhas;10
Fabricação de móveis de outros materiais, exceto madeira e metal;10
Facção de peças do vestuário, exceto roupas íntimas;10
Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;10
Organização logística do transporte de carga;10
Peixaria;10
Restauração de obras de arte;10
Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;10
Tratamentos térmicos, acústicos ou de vibração;10
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;9
Atividades de artistas plásticos, jornalistas independentes e escritores;9
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;9
Comércio varejista de discos, CDs, DVDs e fitas;9
Instalação de outros equipamentos não especificados anteriormente;9
Locação de mão de obra temporária;9
Outras atividades esportivas não especificadas anteriormente;9
Outras sociedades de participação, exceto holdings;9
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;9
Recuperação de sucatas de alumínio;9
Serviços de tratamento e revestimento em metais;9
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;8
Aluguel de máquinas e equipamentos para escritório;8
Atividades de podologia;8
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;8
Comércio atacadista de cosméticos e produtos de perfumaria;8
Comércio atacadista de ferragens e ferramentas;8
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;8
"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";8
Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão;8
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;8
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;8
Fabricação de artefatos de joalheria e ourivesaria;8
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;8
Fabricação de biscoitos e bolachas;8
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;8
Gestão de instalações de esportes;8
Horticultura, exceto morango;8
Impermeabilização em obras de engenharia civil;8
Recondicionamento e recuperação de motores para veículos automotores;8
Recuperação de materiais metálicos, exceto alumínio;8
Reparação de calçados, bolsas e artigos de viagem;8
Serviço de corte e dobra de metais;8
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;7
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;7
Fabricação de especiarias, molhos, temperos e condimentos;7
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;7
Fabricação de outros produtos alimentícios não especificados anteriormente;7
Facção de roupas profissionais;7
Manutenção e reparação de compressores;7
Produção de artefatos estampados de metal;7
Recuperação de materiais não especificados anteriormente;7
Serviço de poda de árvores para lavouras;7
Serviços de dublagem;7
Serviços de ressonância magnética;7
Agenciamento de cargas, exceto para o transporte marítimo;6
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;6
Atividades de acupuntura;6
Atividades de consultoria e auditoria contábil e tributária;6
Atividades de gravação de som e de edição de música;6
Comércio a varejo de motocicletas e motonetas usadas;6
Comércio atacadista de material elétrico;6
Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;6
Comércio varejista de combustíveis para veículos automotores;6
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;6
Comércio varejista de pedras para revestimento;6
Desing de produto;6
Edição integrada à impressão de cadastros, listas e outros produtos gráficos;6
Exploração de jogos eletrônicos recreativos;6
Fabricação de canetas, lápis e outros artigos para escritório;6
Fabricação de conservas de legumes e outros vegetais, exceto palmito;6
Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;6
Guarda-móveis;6
Obras de montagem industrial;6
Provedores de acesso às redes de comunicações;6
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;6
Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;6
Serviços de adestramento de cães de guarda;6
Serviços de comunicação multimídia - SCM;6
Toalheiros;6
Aluguel de andaimes;5
Apicultura;5
Atividades auxiliares da justiça;5
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;5
Comércio atacadista de bebidas não especificadas anteriormente;5
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;5
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;5
Distribuição de água por caminhões;5
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;5
Fabricação de artefatos de cimento para uso na construção;5
Fabricação de embalagens de material plástico;5
Fabricação de laticínios;5
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;5
Fabricação de sorvetes e outros gelados comestíveis;5
Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;5
Imunização e controle de pragas urbanas;5
Laboratórios clínicos;5
Laboratórios fotográficos;5
Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;5
Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;5
Manutenção e reparação de tratores agrícolas;5
Recarga de cartuchos para equipamentos de informática;5
Reparação de relógios;5
Agências matrimoniais;4
Agente de propriedade industrial;4
Agentes de investimentos em aplicações financeiras;4
Aluguel de máquinas e equipamentos agrícolas sem operador;4
Atividades de franqueadas e permissionárias do Correio Nacional;4
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;4
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;4
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;4
Comércio atacadista de mármores e granitos;4
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;4
Comércio varejista de medicamentos veterinários;4
Confecção, sob medida, de roupas profissionais;4
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;4
Criação de peixes ornamentais em água doce;4
Discotecas, danceterias, salões de dança e similares;4
Educação superior - graduação e pós-graduação;4
Estúdios cinematográficos;4
Fabricação de artefatos de material plástico para usos industriais;4
Fabricação de artefatos de tanoaria e de embalagens de madeira;4
Fabricação de embalagens de cartolina e papel-cartão;4
Fabricação de luminárias e outros equipamentos de iluminação;4
Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;4
Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;4
Manutenção e reparação de válvulas industriais;4
Perfuração e construção de poços de água;4
Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;4
Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;4
Serviços de funerárias;4
-;4
Aluguel de fitas de vídeo, DVDs e similares;3
Armazéns gerais - emissão de warrant;3
Atividades de estudos geológicos;3
Comércio atacadista de água mineral;3
Comércio atacadista de artigos de cama, mesa e banho;3
Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;3
"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";3
Comércio atacadista de produtos da extração mineral, exceto combustíveis;3
Comércio atacadista de resíduos de papel e papelão;3
Comércio varejista de antiguidades;3
"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios";3
Comissaria de despachos;3
Confecção de roupas profissionais, exceto sob medida;3
Construção de estações e redes de telecomunicações;3
Criação de peixes ornamentais em água salgada e salobra;3
Cursos de pilotagem;3
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;3
Edição integrada à impressão de jornais diários;3
Edição integrada à impressão de livros;3
Ensino médio;3
Fabricação de aparelhos e equipamentos de medida, teste e controle;3
Fabricação de artefatos de borracha não especificados  anteriormente;3
Fabricação de artefatos de material plástico para uso pessoal e doméstico;3
Fabricação de artefatos para pesca e esporte;3
Fabricação de artigos de vidro;3
Fabricação de aviamentos para costura;3
Fabricação de instrumentos musicais, peças e acessórios;3
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;3
Fabricação de móveis com predominância de metal;3
Fabricação de obras de caldeiraria pesada;3
Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não eletrônicos para escritório;3
Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos;3
Obras de fundações;3
Obras de urbanização - ruas, praças e calçadas;3
Pesquisa e desenvolvimento experimental em ciências sociais e humanas;3
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;3
Sociedades de fomento mercantil - factoring;3
Torrefação e moagem de café;3
Transporte aquaviário para passeios turísticos;3
Transporte por navegação interior de carga, municipal, exceto travessia;3
Acabamento de calçados de couro sob contrato;2
Albergues, exceto assistenciais;2
Aluguel de aparelhos de jogos eletrônicos;2
Aluguel de material médico;2
Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;2
Atividades de administração de fundos por contrato ou comissão;2
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não especificadas anteriormente;2
Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente;2
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2
Coleta de resíduos perigosos;2
Comércio a varejo de peças e acessórios usados para motocicletas e motonetas;2
Comércio atacadista de alimentos para animais;2
Comércio atacadista de animais vivos;2
Comércio atacadista de artigos de armarinho;2
Comércio atacadista de artigos de escritório e de papelaria;2
"Comércio atacadista de artigos de tapeçaria; persianas e cortinas";2
Comércio atacadista de aves vivas e ovos;2
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;2
Comércio atacadista de café em grão;2
Comércio atacadista de café torrado, moído e solúvel;2
Comércio atacadista de carnes bovinas e suínas e derivados;2
Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;2
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2
Comércio atacadista de fios e fibras beneficiados;2
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;2
Comércio atacadista de livros, jornais e outras publicações;2
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";2
Comércio atacadista de massas alimentícias;2
Comércio atacadista de materiais de construção em geral;2
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;2
Comércio atacadista de produtos de higiene pessoal;2
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;2
Comércio atacadista especializado de materiais de construção não especificados anteriormente;2
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;2
Comércio sob consignação de veículos automotores;2
Confecção de roupas íntimas;2
Construção de estações e redes de distribuição de energia elétrica;2
Demolição de edifícios e outras estruturas;2
Educação superior - graduação;2
Escafandria e mergulho;2
Fabricação de acessórios do vestuário, exceto para segurança e proteção;2
Fabricação de artigos ópticos;2
Fabricação de cervejas e chopes;2
Fabricação de componentes eletrônicos;2
Fabricação de embalagens de papel;2
Fabricação de escovas, pincéis e vassouras;2
Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;2
Fabricação de outros produtos de minerais não metálicos não especificados anteriormente;2
Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;2
Fabricação de produtos de trefilados de metal padronizados;2
Fabricação de sucos concentrados de frutas, hortaliças e legumes;2
Fabricação de vidro plano e de segurança;2
Fornecimento e gestão de recursos humanos para terceiros;2
